ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"176.236.163.38","elite","AS34984","TR","Superonline Iletisim Hizmetleri A.S.","65","Superonline Iletisim Hizmetleri","59311","socks4","1603","92","2025-01-28T17:49:59.798Z","100","1428","1435"
"187.155.218.135","elite","AS8151","MX","Uninet S.A. de C.V.","144","Uninet S.A. de C.V.","8081","socks5","1713","3","2025-01-28T17:49:59.190Z","86","7684","8976"
"95.140.124.217","elite","AS9125","RS","Drustvo za telekomunikacije Orion telekom doo Beograd, Gandijeva 76a","89","Orion Telekom Network","1080","socks4","4387","1","2025-01-28T17:49:59.801Z","100","8877","8887"
"172.67.191.251","elite","AS13335","CA","Cloudflare, Inc.","81","Cloudflare, Inc.","80","socks5","4389","1","2025-01-28T17:49:59.204Z","100","2076","2076"
"45.12.31.104","elite","AS209242","GB","Cloudflare London, LLC","11","LIR Services","80","socks4","2705","2","2025-01-28T17:49:59.102Z","100","8842","8844"
"203.24.103.17","elite","AS209242","VG","Cloudflare London, LLC","11","Anaga Consulting Limited","80","socks4","1406","1","2025-01-28T17:49:59.193Z","100","450","451"
"8.219.104.50","elite","AS45102","SG","Alibaba (US) Technology Co., Ltd.","165","Alibaba.com Singapore E-Commerce Private Limited","443","socks4","649","2","2025-01-28T17:49:59.807Z","68","6069","8871"
"191.253.106.140","elite","AS28343","BR","UNIFIQUE TELECOMUNICACOES S/A","205","UNIFIQUE TELECOMUNICACOES S/A","8080","socks4","5287","2","2025-01-28T17:49:59.093Z","94","8436","8980"
"173.255.199.69","elite","AS63949","US","Akamai Technologies, Inc.","112","Linode","19151","socks5","546","1","2025-01-28T17:49:59.195Z","83","7378","8943"
"58.18.43.34","elite","AS4837","CN","CNC Group CHINA169 Neimeng Province Network","212","N/A","10800","socks4","391","2","2025-01-28T17:49:58.700Z","93","8316","8915"
"104.207.61.31","elite","AS200373","US","3xK Tech GmbH","83","3xK Tech GmbH","3128","socks4","4212","1","2025-01-28T17:49:58.993Z","97","609","625"
"202.159.107.137","elite","AS9340","ID","PT IndoInternet","163","N/A","443","socks4","1600","78","2025-01-28T17:49:58.793Z","99","8843","8900"
"36.90.63.55","elite","AS7713","ID","PT. Telekomunikasi Indonesia","285","Telekomunikasi Indonesia","4145","socks4","5486","1","2025-01-28T17:49:58.804Z","68","6113","8931"
"91.197.54.150","elite","AS49356","RU","SamaraEnergo PJSC","83","SamaraEnergo PJSC","8090","socks5","2510","1","2025-01-28T17:49:58.805Z","99","2063","2078"
"45.94.67.1","elite","AS201341","AU","trafficforce, UAB","393","code200","8110","socks4","3791","1","2025-01-28T17:49:58.802Z","97","2091","2150"
"104.18.41.150","elite","AS13335","CA","Cloudflare, Inc.","80","Cloudflare, Inc.","2087","socks4","3702","2","2025-01-28T17:49:58.991Z","100","1354","1354"
"66.207.184.57","elite","AS7029","US","Windstream Communications LLC","88","Voce Telecom, LLC","5432","socks4","898","2","2025-01-28T17:49:58.704Z","98","8643","8851"
"108.20.193.57","elite","AS701","US","Verizon Business","85","Verizon Online LLC","49430","socks5","3190","2","2025-01-28T17:49:58.795Z","98","2071","2110"
"177.72.82.47","elite","AS262543","BR","Brmom Construindo Conexoes Ltda","282","Brmom Construindo Conexoes Ltda","4153","socks4","410","98","2025-01-28T17:49:58.697Z","99","8832","8905"
"70.184.181.203","elite","AS22773","US","Cox Communications Inc.","103","Cox Communications","48678","socks4","4199","1","2025-01-28T17:49:58.995Z","100","759","760"
"218.24.16.198","elite","AS4837","CN","CNC Group CHINA169 Liaoning Province Network","209","N/A","36180","socks4","1078","1","2025-01-28T17:49:58.903Z","100","325","325"
"110.34.166.180","elite","AS45652","SG","VPLS, Inc.","149","N/A","4153","socks4","789","1","2025-01-28T17:49:58.702Z","99","8880","8930"
"92.222.237.95","elite","AS16276","FR","OVH SAS","6","LCC LCC","8898","socks4","2982","1","2025-01-28T17:49:58.898Z","100","8878","8878"
"202.51.103.154","elite","AS17995","ID","PT iForte Global Internet","182","N/A","5678","socks4","284","1","2025-01-28T17:49:58.796Z","95","2099","2221"
"45.196.150.222","elite","AS7018","US","AT&T Services, Inc.","90","AQUA Networks Limited","5432","socks4","3182","1","2025-01-28T17:49:58.798Z","98","8744","8891"
"49.229.36.210","elite","AS45458","TH","AIS-Corporate","191","N/A","4153","socks4","358","1","2025-01-28T17:49:58.900Z","99","2178","2210"
"187.19.127.180","elite","AS53160","BR","Unidasnet Comunicacoes Ltda","202","Unidasnet Comunicacoes Ltda","4153","socks4","1306","2","2025-01-28T17:49:46.309Z","99","2190","2202"
"45.77.161.73","elite","AS20473","US","The Constant Company","114","Vultr Holdings, LLC","10014","socks4","436","82","2025-01-28T17:49:46.904Z","95","8576","9031"
"92.204.40.246","elite","AS29066","FR","velia.net Internetdienste GmbH","11","GD MASS Network","37152","socks4","791","1","2025-01-28T17:49:46.902Z","99","1914","1925"
"120.42.224.254","elite","AS4134","CN","Chinanet","280","Chinanet FJ","21212","socks5","4395","2","2025-01-28T17:49:46.899Z","66","5919","8911"
"46.227.39.2","elite","AS51155","PL","TB Telecom Sp. z o. o.","94","Telemedian","1088","socks4","1686","1","2025-01-28T17:49:46.891Z","100","8768","8806"
"14.115.107.232","elite","AS4134","CN","Chinanet","194","Chinanet GD","3629","socks4","4802","1","2025-01-28T17:49:46.291Z","54","4800","8834"
"185.169.181.27","elite","AS34984","TR","Ates Dc","56","Ibrahim MALA trading as Ates Dc","4145","socks4","1173","1","2025-01-28T17:49:46.706Z","100","8910","8937"
"89.39.107.137","elite","AS49981","NL","WorldStream B.V.","12","Worldstream","11207","socks4","2704","1","2025-01-28T17:49:46.302Z","100","518","519"
"51.158.111.242","elite","AS12876","FR","SCALEWAY","3","ONLINE","8811","socks4","1503","1","2025-01-28T17:49:46.300Z","61","5500","8983"
"177.72.113.225","elite","AS262558","BR","Prompt Brasil Solucoes EM TI Ltda","196","Prompt Brasil Solucoes EM TI Ltda","31164","socks4","1997","1","2025-01-28T17:49:46.293Z","99","8861","8941"
"80.200.67.156","elite","AS5432","BE","Proximus","19","Belgacom SA","15747","socks4","581","1","2025-01-28T17:49:46.400Z","94","8335","8906"
"45.10.69.40","elite","AS21859","US","Zenlayer Inc","143","Zenlayer Inc","8888","socks4","591","2","2025-01-28T17:49:46.991Z","27","2402","8910"
"104.36.166.42","elite","AS27640","US","GIGAS HOSTING USA, LLC","111","GIGAS HOSTING USA, LLC","8857","socks4","2602","1","2025-01-28T17:49:46.796Z","100","2242","2246"
